relative_time,timestamp,small_job_0,small_job_1,small_job_2,small_job_3,medium_job
0,1764125092,0,0,0,0,8549433344
3,1764125095,0,0,0,0,10740957184
7,1764125099,0,0,0,0,10944380928
10,1764125102,0,0,0,0,10944380928
20,1764125112,0,0,0,0,10944380928
24,1764125116,0,0,0,0,10944380928
27,1764125119,0,0,0,0,10944380928
42,1764125134,0,0,0,0,10944380928
45,1764125137,0,0,0,0,10944380928
48,1764125140,0,0,0,0,10944380928
62,1764125154,0,0,0,0,10944380928
66,1764125158,0,0,0,0,10944380928
69,1764125161,0,0,0,0,10944380928
84,1764125176,0,0,0,0,10944380928
88,1764125180,0,0,0,0,10944380928
91,1764125183,0,0,0,0,10944380928
106,1764125198,0,0,0,0,10944380928
110,1764125202,0,0,0,0,10944380928
113,1764125205,0,0,0,0,10944380928
128,1764125220,0,0,0,0,10954866688
131,1764125223,0,0,0,0,10954866688
134,1764125226,0,0,0,0,10954866688
149,1764125241,0,0,0,0,10954866688
152,1764125244,0,0,0,0,10954866688
155,1764125247,0,0,0,0,10954866688
169,1764125261,0,0,0,0,10954866688
172,1764125264,0,0,0,0,10954866688
176,1764125268,0,0,0,0,10954866688
214,1764125306,7421165568,0,0,0,0
219,1764125311,15883173888,0,0,0,0
224,1764125316,12754223104,0,0,0,0
229,1764125321,16050946048,0,0,0,0
236,1764125328,16050946048,0,0,0,0
241,1764125333,16050946048,0,0,0,0
247,1764125339,16050946048,0,0,0,0
255,1764125347,16050946048,0,0,0,0
260,1764125352,16050946048,0,0,0,0
266,1764125358,16050946048,0,0,0,0
274,1764125366,16050946048,0,0,0,0
280,1764125372,16050946048,0,0,0,0
285,1764125377,16050946048,0,0,0,0
294,1764125386,16050946048,0,0,0,0
298,1764125390,16050946048,0,0,0,0
304,1764125396,16050946048,0,0,0,0
313,1764125405,16050946048,0,0,0,0
319,1764125411,16050946048,0,0,0,0
324,1764125416,16050946048,0,0,0,0
333,1764125425,16050946048,0,0,0,0
338,1764125430,16050946048,0,0,0,0
343,1764125435,16050946048,0,0,0,0
352,1764125444,16050946048,0,0,0,0
357,1764125449,16050946048,0,0,0,0
362,1764125454,16050946048,0,0,0,0
415,1764125507,0,0,9312796672,0,0
421,1764125513,0,0,12148146176,0,0
426,1764125518,0,0,12955549696,0,0
431,1764125523,0,0,16227106816,0,0
438,1764125530,0,0,16227106816,0,0
442,1764125534,0,0,16227106816,0,0
447,1764125539,0,0,16227106816,0,0
456,1764125548,0,0,16227106816,0,0
461,1764125553,0,0,12309626880,0,0
466,1764125558,0,0,13127516160,0,0
474,1764125566,0,0,13127516160,0,0
480,1764125572,0,0,13127516160,0,0
485,1764125577,0,0,13127516160,0,0
493,1764125585,0,0,13127516160,0,0
498,1764125590,0,0,13949599744,0,0
503,1764125595,0,0,13039435776,0,0
512,1764125604,0,0,13039435776,0,0
517,1764125609,0,0,13039435776,0,0
522,1764125614,0,0,13039435776,0,0
530,1764125622,0,0,13039435776,0,0
535,1764125627,0,0,13039435776,0,0
540,1764125632,0,0,13039435776,0,0
549,1764125641,0,0,13039435776,0,0
554,1764125646,0,0,13039435776,0,0
558,1764125650,0,0,13039435776,0,0
616,1764125708,0,7999979520,0,0,0
622,1764125714,0,11980374016,0,0,0
627,1764125719,0,11825184768,0,0,0
633,1764125725,0,15096741888,0,0,0
641,1764125733,0,12450136064,0,0,0
646,1764125738,0,12450136064,0,0,0
651,1764125743,0,12450136064,0,0,0
660,1764125752,0,12450136064,0,0,0
664,1764125756,0,12450136064,0,0,0
670,1764125762,0,13284802560,0,0,0
679,1764125771,0,13284802560,0,0,0
683,1764125775,0,13284802560,0,0,0
689,1764125781,0,13284802560,0,0,0
699,1764125791,0,13284802560,0,0,0
704,1764125796,0,13284802560,0,0,0
